aubrey_identifier	display_title	dc_subject.KWD_facet																		
ark:/67531/metapth241125	Cutting Horse Competition: Image 1991_D-247_11	NCHA	derbies	horse shows																
ark:/67531/metapth241126	Cutting Horse Competition: Image 1991_D-247_12	NCHA	derbies	horse shows																
ark:/67531/metapth241127	Cutting Horse Competition: Image 1991_D-248_01	NCHA	derbies	horse shows																
ark:/67531/metapth241128	Cutting Horse Competition: Image 1991_D-248_02	NCHA	derbies	horse shows																
ark:/67531/metapth241129	Cutting Horse Competition: Image 1991_D-248_03	NCHA	derbies	horse shows																
ark:/67531/metapth241130	Cutting Horse Competition: Image 1991_D-248_04	NCHA	derbies	horse shows																
ark:/67531/metapth241131	Cutting Horse Competition: Image 1991_D-248_05	NCHA	derbies	horse shows																
ark:/67531/metapth241132	Cutting Horse Competition: Image 1991_D-248_06	NCHA	derbies	horse shows																
ark:/67531/metapth241133	Cutting Horse Competition: Image 1991_D-248_07	NCHA	derbies	horse shows																
ark:/67531/metapth241134	Cutting Horse Competition: Image 1991_D-248_08	NCHA	derbies	horse shows																
ark:/67531/metapth241135	Cutting Horse Competition: Image 1991_D-248_09	NCHA	derbies	horse shows																
ark:/67531/metapth241136	Cutting Horse Competition: Image 1991_D-248_10	NCHA	derbies	horse shows																
ark:/67531/metapth241137	Cutting Horse Competition: Image 1991_D-248_11	NCHA	derbies	horse shows																
ark:/67531/metapth241138	Cutting Horse Competition: Image 1991_D-248_12	NCHA	derbies	horse shows																
ark:/67531/metapth241139	Cutting Horse Competition: Image 1991_D-249_01	NCHA	derbies	horse shows																
ark:/67531/metapth241140	Cutting Horse Competition: Image 1991_D-249_02	NCHA	derbies	horse shows																
ark:/67531/metapth241141	Cutting Horse Competition: Image 1991_D-249_05	NCHA	derbies	horse shows																
ark:/67531/metapth241142	Cutting Horse Competition: Image 1991_D-24_01	NCHA	derbies	horse shows																
ark:/67531/metapth241143	Cutting Horse Competition: Image 1991_D-24_02	NCHA	derbies	horse shows																
ark:/67531/metapth241144	Cutting Horse Competition: Image 1991_D-24_03	NCHA	derbies	horse shows																
ark:/67531/metapth241145	Cutting Horse Competition: Image 1991_D-24_04	NCHA	derbies	horse shows																
ark:/67531/metapth241146	Cutting Horse Competition: Image 1991_D-24_05	NCHA	derbies	horse shows																
ark:/67531/metapth241147	Cutting Horse Competition: Image 1991_D-24_06	NCHA	derbies	horse shows																
ark:/67531/metapth241148	Cutting Horse Competition: Image 1991_D-24_07	NCHA	derbies	horse shows																
ark:/67531/metapth241150	Cutting Horse Competition: Image 1991_D-24_09	NCHA	derbies	horse shows																
ark:/67531/metapth241151	Cutting Horse Competition: Image 1991_D-24_10	NCHA	derbies	horse shows																
ark:/67531/metapth241152	Cutting Horse Competition: Image 1991_D-24_11	NCHA	derbies	horse shows																
ark:/67531/metapth241153	Cutting Horse Competition: Image 1991_D-24_12	NCHA	derbies	horse shows																
ark:/67531/metapth241154	Cutting Horse Competition: Image 1991_D-25_01	NCHA	derbies	horse shows																
ark:/67531/metapth241155	Cutting Horse Competition: Image 1991_D-25_02	NCHA	derbies	horse shows																
ark:/67531/metapth241156	Cutting Horse Competition: Image 1991_D-25_03	NCHA	derbies	horse shows																
ark:/67531/metapth241157	Cutting Horse Competition: Image 1991_D-25_04	NCHA	derbies	horse shows																
ark:/67531/metapth241158	Cutting Horse Competition: Image 1991_D-25_05	NCHA	derbies	horse shows																
ark:/67531/metapth241159	Cutting Horse Competition: Image 1991_D-25_06	NCHA	derbies	horse shows																
ark:/67531/metapth241160	Cutting Horse Competition: Image 1991_D-25_07	NCHA	derbies	horse shows																
ark:/67531/metapth241161	Cutting Horse Competition: Image 1991_D-25_08	NCHA	derbies	horse shows																
ark:/67531/metapth241162	Cutting Horse Competition: Image 1991_D-25_09	NCHA	derbies	horse shows																
ark:/67531/metapth241163	Cutting Horse Competition: Image 1991_D-25_10	NCHA	derbies	horse shows																
ark:/67531/metapth241164	Cutting Horse Competition: Image 1991_D-25_11	NCHA	derbies	horse shows																
ark:/67531/metapth241165	Cutting Horse Competition: Image 1991_D-25_12	NCHA	derbies	horse shows																
ark:/67531/metapth241166	Cutting Horse Competition: Image 1991_D-26_01	NCHA	derbies	horse shows																
ark:/67531/metapth241167	Cutting Horse Competition: Image 1991_D-26_02	NCHA	derbies	horse shows																
ark:/67531/metapth241168	Cutting Horse Competition: Image 1991_D-26_03	NCHA	derbies	horse shows																
ark:/67531/metapth241169	Cutting Horse Competition: Image 1991_D-26_04	NCHA	derbies	horse shows																
ark:/67531/metapth241170	Cutting Horse Competition: Image 1991_D-26_05	NCHA	derbies	horse shows																
ark:/67531/metapth241171	Cutting Horse Competition: Image 1991_D-26_06	NCHA	derbies	horse shows																
ark:/67531/metapth241172	Cutting Horse Competition: Image 1991_D-26_07	NCHA	derbies	horse shows																
ark:/67531/metapth241173	Cutting Horse Competition: Image 1991_D-26_08	NCHA	derbies	horse shows																
ark:/67531/metapth241174	Cutting Horse Competition: Image 1991_D-26_09	NCHA	derbies	horse shows																
ark:/67531/metapth241175	Cutting Horse Competition: Image 1991_D-26_10	NCHA	derbies	horse shows																
ark:/67531/metapth241176	Cutting Horse Competition: Image 1991_D-26_11	NCHA	derbies	horse shows																
ark:/67531/metapth241177	Cutting Horse Competition: Image 1991_D-26_12	NCHA	derbies	horse shows																
ark:/67531/metapth241178	Cutting Horse Competition: Image 1991_D-27_01	NCHA	derbies	horse shows																
ark:/67531/metapth241179	Cutting Horse Competition: Image 1991_D-27_02	NCHA	derbies	horse shows																
ark:/67531/metapth241180	Cutting Horse Competition: Image 1991_D-27_03	NCHA	derbies	horse shows																
ark:/67531/metapth241181	Cutting Horse Competition: Image 1991_D-27_04	NCHA	derbies	horse shows																
ark:/67531/metapth241182	Cutting Horse Competition: Image 1991_D-27_05	NCHA	derbies	horse shows																
ark:/67531/metapth241183	Cutting Horse Competition: Image 1991_D-27_06	NCHA	derbies	horse shows																
ark:/67531/metapth241184	Cutting Horse Competition: Image 1991_D-27_07	NCHA	derbies	horse shows																
ark:/67531/metapth241185	Cutting Horse Competition: Image 1991_D-27_08	NCHA	derbies	horse shows																
ark:/67531/metapth241186	Cutting Horse Competition: Image 1991_D-27_09	NCHA	derbies	horse shows																
ark:/67531/metapth241187	Cutting Horse Competition: Image 1991_D-27_10	NCHA	derbies	horse shows																
ark:/67531/metapth241188	Cutting Horse Competition: Image 1991_D-27_11	NCHA	derbies	horse shows																
ark:/67531/metapth241189	Cutting Horse Competition: Image 1991_D-27_12	NCHA	derbies	horse shows																
ark:/67531/metapth241190	Cutting Horse Competition: Image 1991_D-28_01	NCHA	derbies	horse shows																
ark:/67531/metapth241191	Cutting Horse Competition: Image 1991_D-28_02	NCHA	derbies	horse shows																
ark:/67531/metapth241192	Cutting Horse Competition: Image 1991_D-28_03	NCHA	derbies	horse shows																
ark:/67531/metapth241193	Cutting Horse Competition: Image 1991_D-28_04	NCHA	derbies	horse shows																
ark:/67531/metapth241194	Cutting Horse Competition: Image 1991_D-28_05	NCHA	derbies	horse shows																
ark:/67531/metapth241195	Cutting Horse Competition: Image 1991_D-28_06	NCHA	derbies	horse shows																
ark:/67531/metapth241196	Cutting Horse Competition: Image 1991_D-28_07	NCHA	derbies	horse shows																
ark:/67531/metapth241197	Cutting Horse Competition: Image 1991_D-28_08	NCHA	derbies	horse shows																
