field,county,state,subfeild,year,count
str_location_county,ComancheCounty,TX,untl_decade,1920-1929,679
str_location_county,ComancheCounty,TX,untl_decade,1930-1939,969
str_location_county,ComancheCounty,TX,untl_decade,1940-1949,495
str_location_county,ComancheCounty,TX,untl_decade,1950-1959,957
str_location_county,ComancheCounty,TX,untl_decade,1960-1969,1039
str_location_county,ComancheCounty,TX,untl_decade,1970-1979,256
str_location_county,ComancheCounty,TX,untl_decade,1980-1989,621
str_location_county,ComancheCounty,TX,untl_decade,1990-1999,963
str_location_county,ComancheCounty,TX,untl_decade,2000-2009,796
str_location_county,ComancheCounty,TX,untl_decade,2010-2019,243
str_location_county,ConchoCounty,TX,untl_decade,1890-1899,1
str_location_county,ConchoCounty,TX,untl_decade,1910-1919,4
str_location_county,CookeCounty,TX,untl_decade,1880-1889,540
str_location_county,CookeCounty,TX,untl_decade,1890-1899,1746
str_location_county,CookeCounty,TX,untl_decade,1900-1909,541
str_location_county,CookeCounty,TX,untl_decade,1910-1919,1251
str_location_county,CookeCounty,TX,untl_decade,1920-1929,2294
str_location_county,CookeCounty,TX,untl_decade,2010-2019,1098
str_location_county,CookeCounty,TX,untl_decade,2020-2029,196
str_location_county,CoryellCounty,TX,untl_decade,1940-1949,1
str_location_county,CoryellCounty,TX,untl_decade,1950-1959,2
str_location_county,CoryellCounty,TX,untl_decade,1970-1979,1
str_location_county,CoryellCounty,TX,untl_decade,2010-2019,200
str_location_county,CottleCounty,TX,untl_decade,1900-1909,54
str_location_county,CottleCounty,TX,untl_decade,1910-1919,374
str_location_county,CottleCounty,TX,untl_decade,1920-1929,336
str_location_county,CottleCounty,TX,untl_decade,1930-1939,198
str_location_county,CottleCounty,TX,untl_decade,1940-1949,559
str_location_county,CottleCounty,TX,untl_decade,1950-1959,521
str_location_county,CottleCounty,TX,untl_decade,1960-1969,520
str_location_county,CottleCounty,TX,untl_decade,1970-1979,114
str_location_county,CottleCounty,TX,untl_decade,1980-1989,101
str_location_county,CottleCounty,TX,untl_decade,1990-1999,1
str_location_county,CottleCounty,TX,untl_decade,2000-2009,1
str_location_county,CottleCounty,TX,untl_decade,2010-2019,56
str_location_county,CrockettCounty,TX,untl_decade,1860-1869,1
str_location_county,CrockettCounty,TX,untl_decade,1920-1929,182
str_location_county,CrockettCounty,TX,untl_decade,1930-1939,300
str_location_county,CrosbyCounty,TX,untl_decade,1900-1909,51
str_location_county,CrosbyCounty,TX,untl_decade,1910-1919,348
str_location_county,CrosbyCounty,TX,untl_decade,1920-1929,453
str_location_county,CrosbyCounty,TX,untl_decade,1930-1939,464
str_location_county,CrosbyCounty,TX,untl_decade,1940-1949,521
str_location_county,CrosbyCounty,TX,untl_decade,1950-1959,469
str_location_county,CrosbyCounty,TX,untl_decade,1960-1969,519
str_location_county,CrosbyCounty,TX,untl_decade,1970-1979,418
str_location_county,CrosbyCounty,TX,untl_decade,2010-2019,246
str_location_county,DallamCounty,TX,untl_decade,1930-1939,49
str_location_county,DallasCounty,TX,untl_decade,1850-1859,98
str_location_county,DallasCounty,TX,untl_decade,1860-1869,445
str_location_county,DallasCounty,TX,untl_decade,1870-1879,2084
str_location_county,DallasCounty,TX,untl_decade,1880-1889,3398
str_location_county,DallasCounty,TX,untl_decade,1890-1899,494
str_location_county,DallasCounty,TX,untl_decade,1900-1909,804
str_location_county,DallasCounty,TX,untl_decade,1910-1919,1048
str_location_county,DallasCounty,TX,untl_decade,1920-1929,1516
str_location_county,DallasCounty,TX,untl_decade,1930-1939,1004
str_location_county,DallasCounty,TX,untl_decade,1940-1949,1274
str_location_county,DallasCounty,TX,untl_decade,1950-1959,844
str_location_county,DallasCounty,TX,untl_decade,1960-1969,707
str_location_county,DallasCounty,TX,untl_decade,1970-1979,758
str_location_county,DallasCounty,TX,untl_decade,1980-1989,755
str_location_county,DallasCounty,TX,untl_decade,1990-1999,851
str_location_county,DallasCounty,TX,untl_decade,2000-2009,2628
str_location_county,DallasCounty,TX,untl_decade,2010-2019,2200
str_location_county,DallasCounty,TX,untl_decade,2020-2029,44
str_location_county,DeWittCounty,TX,untl_decade,1880-1889,4
str_location_county,DeWittCounty,TX,untl_decade,1890-1899,291
str_location_county,DeWittCounty,TX,untl_decade,1900-1909,957
str_location_county,DeWittCounty,TX,untl_decade,1910-1919,731
str_location_county,DeWittCounty,TX,untl_decade,1920-1929,2130
str_location_county,DeWittCounty,TX,untl_decade,1930-1939,4022
str_location_county,DeWittCounty,TX,untl_decade,1940-1949,894
str_location_county,DeWittCounty,TX,untl_decade,1950-1959,1925
str_location_county,DeWittCounty,TX,untl_decade,1960-1969,3680
str_location_county,DeWittCounty,TX,untl_decade,1970-1979,866
str_location_county,DeWittCounty,TX,untl_decade,1980-1989,204
str_location_county,DeWittCounty,TX,untl_decade,1990-1999,130
str_location_county,DeWittCounty,TX,untl_decade,2000-2009,368
str_location_county,DeWittCounty,TX,untl_decade,2010-2019,310
str_location_county,DeafSmithCounty,TX,untl_decade,1900-1909,427
str_location_county,DeafSmithCounty,TX,untl_decade,1910-1919,497
str_location_county,DeafSmithCounty,TX,untl_decade,1920-1929,414
str_location_county,DeafSmithCounty,TX,untl_decade,1930-1939,421
str_location_county,DeafSmithCounty,TX,untl_decade,1940-1949,520
str_location_county,DeafSmithCounty,TX,untl_decade,1950-1959,518
str_location_county,DeafSmithCounty,TX,untl_decade,1960-1969,520
str_location_county,DeafSmithCounty,TX,untl_decade,1970-1979,279
str_location_county,DeafSmithCounty,TX,untl_decade,1980-1989,469
str_location_county,DeltaCounty,TX,untl_decade,1900-1909,275
str_location_county,DeltaCounty,TX,untl_decade,1910-1919,429
str_location_county,DeltaCounty,TX,untl_decade,1920-1929,685
str_location_county,DeltaCounty,TX,untl_decade,1930-1939,846
str_location_county,DeltaCounty,TX,untl_decade,1940-1949,693
str_location_county,DeltaCounty,TX,untl_decade,1950-1959,521
str_location_county,DeltaCounty,TX,untl_decade,1960-1969,388
str_location_county,DeltaCounty,TX,untl_decade,1970-1979,320
str_location_county,DeltaCounty,TX,untl_decade,1980-1989,253
str_location_county,DeltaCounty,TX,untl_decade,1990-1999,257
str_location_county,DeltaCounty,TX,untl_decade,2000-2009,287
str_location_county,DeltaCounty,TX,untl_decade,2010-2019,410
str_location_county,DentonCounty,TX,untl_decade,1860-1869,16
str_location_county,DentonCounty,TX,untl_decade,1880-1889,52
str_location_county,DentonCounty,TX,untl_decade,1890-1899,689
str_location_county,DentonCounty,TX,untl_decade,1900-1909,738
str_location_county,DentonCounty,TX,untl_decade,1910-1919,2966
str_location_county,DentonCounty,TX,untl_decade,1920-1929,2569
str_location_county,DentonCounty,TX,untl_decade,1930-1939,782
str_location_county,DentonCounty,TX,untl_decade,1940-1949,2449
str_location_county,DentonCounty,TX,untl_decade,1950-1959,1394
str_location_county,DentonCounty,TX,untl_decade,1960-1969,1001
str_location_county,DentonCounty,TX,untl_decade,1970-1979,1631
str_location_county,DentonCounty,TX,untl_decade,1980-1989,1506
str_location_county,DentonCounty,TX,untl_decade,1990-1999,759
str_location_county,DentonCounty,TX,untl_decade,2000-2009,915
str_location_county,DentonCounty,TX,untl_decade,2010-2019,3184
str_location_county,DentonCounty,TX,untl_decade,2020-2029,5
str_location_county,DickensCounty,TX,untl_decade,1910-1919,1
str_location_county,DickensCounty,TX,untl_decade,1920-1929,1
str_location_county,DonleyCounty,TX,untl_decade,1920-1929,1
str_location_county,DuvalCounty,TX,untl_decade,1910-1919,2
str_location_county,DuvalCounty,TX,untl_decade,1930-1939,117
str_location_county,DuvalCounty,TX,untl_decade,1940-1949,215
str_location_county,DuvalCounty,TX,untl_decade,1950-1959,2
str_location_county,DuvalCounty,TX,untl_decade,1980-1989,198
str_location_county,DuvalCounty,TX,untl_decade,1990-1999,476
str_location_county,EastlandCounty,TX,untl_decade,1880-1889,2
str_location_county,EastlandCounty,TX,untl_decade,1890-1899,45
str_location_county,EastlandCounty,TX,untl_decade,1900-1909,367
str_location_county,EastlandCounty,TX,untl_decade,1910-1919,23
str_location_county,EdwardsCounty,TX,untl_decade,1920-1929,117
str_location_county,EdwardsCounty,TX,untl_decade,1930-1939,443
str_location_county,EdwardsCounty,TX,untl_decade,1940-1949,206
str_location_county,EdwardsCounty,TX,untl_decade,1950-1959,519
str_location_county,EdwardsCounty,TX,untl_decade,1960-1969,105
str_location_county,ElPasoCounty,TX,untl_decade,1880-1889,1696
str_location_county,ElPasoCounty,TX,untl_decade,1890-1899,4028
