Mr. Lynch On His Way to Discover Mineral Wells	"This picture is a photograph of a cartoon.  See also ""Opening of the First Season at Mineral Wells"" and ""The First Well Was Dug Here in 1877.""  Please note the centipede\, illustrated along with other forms of wildlife.  Also\, please note the Indians\, who appear to be friendly.\n     A.F. Weaver took this cartoon from a jocular booklet titled ""Inside Story About the Waters"" (q.v.) that is in the Palo Pinto County Album collection (q.v.)  It is written in the nineteenth-century burlesque style\, and need not be taken seriously."	"cartoons,drawings"			
The First Well Was Dug Here in 1877	"This photograph illustrates a cartoon.  ""1880"" is written in ink at bottom of the photograph\, evidently in correction of the cartoon.  Lynch arrived in what would later be Mineral Wells in 1877.  His first well\, dug to forty-one feet in 1878\, was dry.  The second well\, drilled deeper\, was in 1880.  Please see also ""Opening of the First Season at Mineral Wells"" and ""Mr. Lynch on His Way to Discover Mineral Wells."" \n     The cartoon appears to have been taken by A. F. Weaver from a jocular booklet titled ""Inside Story About the Waters"" which is in the holdings of the Palo Pinto County Album (q.v.).  The booklet was written in the nineteenth-century burlesque tradition\, and Weaver makes no comment on the cartoon or the booklet."	"cartoons,drawings,wells"			
[The Murphy Family]	"A scene of children sitting in horse-drawn carriage\, with a man leaning against the carriage house is illustrated here.  A family home is shown in the background\, with chickens\, and a cow in the foreground.  Information on back of photograph states ""Looking west. Back of Murphy Home on East Mountain.""  \n     Murphy was a builder in Mineral Wells with the firm of Goodrum\, Murphy and Croft\, Contractors.  They built many of the buildings in the early part of the 1900's\, including Mineral Wells High School (1915)\, Bimini Bath House\, and the Norwood Hospital."				
Interior of Dr. Crabb's Veterinary Clinic	Interior of Dr. Crabb's veterinary clinic at 1700 Evans Avenue in Hurst	"Dr. Crabb,veterinarians"			
"78th Texas Legislature, Regular Session, House Bill 240, Chapter 1280"	Bill introduced by the Texas House of Representatives relating to the punishment for criminal mischief committed by intentionally introducing infectious diseases into livestock.		"Bills\, Legislative -- Texas.,Crime.,Diseases.,Texas -- Politics and government."		
[Jethro Holmes and His Ox]	"Photograph of Jethro Holmes and his ox at the Texas Folklife Festival in San Antonio\, Texas. Jethro wears a denim shirt and denim pants\, a blue bow tie and a cowboy hat. He leans on his black ox\, surrounded by a bed of straw."	festivals		"Holmes\, Jethro"	
Cutting Horse Competition: Image 1991_D-239_06	"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas."	"NCHA,derbies,horse shows"	Cutting horses -- Competitions -- Texas -- Fort Worth.		
Cutting Horse Competition: Image 1991_D-239_07	"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas."	"NCHA,derbies,horse shows"	Cutting horses -- Competitions -- Texas -- Fort Worth.		
Cutting Horse Competition: Image 1991_D-239_08	"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas."	"NCHA,derbies,horse shows"	Cutting horses -- Competitions -- Texas -- Fort Worth.		
Cutting Horse Competition: Image 1991_D-239_09	"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas."	"NCHA,derbies,horse shows"	Cutting horses -- Competitions -- Texas -- Fort Worth.		
Cutting Horse Competition: Image 1991_D-239_10	"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas."	"NCHA,derbies,horse shows"	Cutting horses -- Competitions -- Texas -- Fort Worth.		
